"energy [MeV]", "mu [cm2/g]", "mu_en [cm2/g]"
0.001,2911.0,2905.0
0.0015,953.6,951.3
0.002,420.6,419.2
0.003,128.8,127.9
0.004,54.66,53.98
0.005,27.92,27.37
0.006,16.08,15.61
0.008,6.75,6.37
0.01,3.481,3.153
0.015,1.132,0.8668
0.02,0.5798,0.3462
0.03,0.3009,0.09972
0.04,0.2304,0.04695
0.05,0.202,0.03082
0.06,0.1868,0.02508
0.08,0.1695,0.02247
0.1,0.1586,0.02297
0.15,0.1406,0.02567
0.2,0.1282,0.02772
0.3,0.1111,0.0299
0.4,0.09947,0.03073
0.5,0.09079,0.03093
0.6,0.08395,0.03079
0.8,0.07372,0.03005
1.0,0.06628,0.02909
1.25,0.05927,0.0278
1.5,0.05395,0.02657
2.0,0.0463,0.02444
3.0,0.03715,0.02135
4.0,0.03181,0.01931
5.0,0.02829,0.01787
6.0,0.02582,0.01682
8.0,0.02257,0.0154
10.0,0.02057,0.0145
15.0,0.01789,0.01327
20.0,0.01664,0.01267
