"energy [MeV]", "mu [cm2/g]", "mu_en [cm2/g]"
0.001,2484.0,2480.0
0.0015,802.7,801.0
0.002,351.2,350.0
0.003,106.5,105.7
0.004,44.94,44.33
0.005,22.88,22.37
0.006,13.15,12.72
0.008,5.521,5.162
0.01,2.86,2.545
0.015,0.9552,0.6961
0.02,0.5089,0.2779
0.03,0.2824,0.08135
0.04,0.2241,0.03988
0.05,0.2,0.02754
0.06,0.1866,0.0234
0.08,0.1707,0.022
0.1,0.1602,0.02292
0.15,0.1424,0.02594
0.2,0.13,0.02809
0.3,0.1127,0.03033
0.4,0.1009,0.03118
0.5,0.0921,0.03138
0.6,0.08516,0.03124
0.8,0.07478,0.03049
1.0,0.06723,0.02951
1.25,0.06013,0.02821
1.5,0.05472,0.02696
2.0,0.04694,0.02479
3.0,0.03761,0.02163
4.0,0.03215,0.01951
5.0,0.02854,0.01802
6.0,0.02599,0.01692
8.0,0.02264,0.01543
10.0,0.02055,0.01447
15.0,0.01775,0.01315
20.0,0.01641,0.01249
