"energy [MeV]", "mu [cm2/g]", "mu_en [cm2/g]"
0.001,1894.0,1892.0
0.0015,599.9,598.8
0.002,259.3,258.4
0.003,77.43,76.78
0.004,32.42,31.89
0.005,16.43,15.98
0.006,9.432,9.032
0.008,3.975,3.635
0.01,2.088,1.781
0.015,0.7452,0.4834
0.02,0.4315,0.1936
0.03,0.2706,0.05932
0.04,0.2275,0.03196
0.05,0.2084,0.02442
0.06,0.197,0.02236
0.08,0.1823,0.02265
0.1,0.1719,0.02423
0.15,0.1534,0.02789
0.2,0.1402,0.03029
0.3,0.1217,0.03276
0.4,0.1089,0.03368
0.5,0.09947,0.0339
0.6,0.09198,0.03375
0.8,0.08078,0.03295
1.0,0.07262,0.0319
1.25,0.06495,0.03049
1.5,0.0591,0.02914
2.0,0.05064,0.02677
3.0,0.04045,0.02328
4.0,0.03444,0.02091
5.0,0.03045,0.01921
6.0,0.0276,0.01794
8.0,0.02383,0.0162
10.0,0.02145,0.01506
15.0,0.01819,0.01344
20.0,0.01658,0.0126
